ev22_0010_0000;Postscript
ev22_0010_0000_1;3221225472
ev22_0010_0000_2;[s40]Turn Those Corners Up[/s]
ev22_0010_0001;No!
ev22_0010_0002;You will not accept this?
ev22_0010_0003;It was your doing. Yours.[~]And now you would refuse to accept the consequences?
ev22_0010_0004;Accept it?[~]How could you expect me to accept it?!
ev22_0010_0005;Lann takes the fall, while I cower in my fake world?!
ev22_0010_0006;I mean, this is my fault as much as it is his![~]He shouldn’t have to pay my share!
ev22_0010_0007;Who do I tell I’m sorry?[~]Our mom and dad?!
ev22_0010_0008;Then I will ask you again.[~]Will you, or will you not accept the consequences?
ev22_0010_0009;I will not. Not these!
ev22_0010_0010;Very well.
ev22_0010_0011;I shall yield to you all nine of my precious lives...
ev22_0010_0012;and give you a chance to continue your tale differently...[~]and weave the threads of time anew.
ev22_0010_0013;Tick, tock... Tick, tock...
ev22_0010_0014;Life sacrifice acknowledged.[~]Now time shall be threaded anew.
ev22_0010_0015;Bong... Bong...
ev22_0010_0016;Huh?
ev22_0010_0017;All right! Let’s kick some Baha-butt,[~]and give this world a saving it won’t forget!
ev22_0010_0018;After all, if we really did cause all of this mess...[~]it’s about time that we settled up.
ev22_0010_0019;Wait!
ev22_0010_0020;Huh?! Wh-what’s gotten into you?
ev22_0010_0021;Just...wait...
ev22_0010_0022;Wh-where’s Tama?
ev22_0010_0023;Tomma? What’s that?
ev22_0010_0024;Our...friend...
ev22_0010_0025;NOT USED
ev22_0010_0025_1;NOT USED
ev22_0010_0026;NOT USED
ev22_0010_0027;No way...[~]Was that her back there? That was Tama?
ev22_0010_0028;Uh, hey, Lann.[~]You really don’t know who I mean?
ev22_0010_0029;Tama's our friend.[~]This whole journey, she’s been by our side!
ev22_0010_0030;What? I have [f2]no[/f] idea what you’re saying.[~]What is wrong with you? You’re acting so weird.
ev22_0010_0031;Well, I’ve never seen her behave like this. Usually Lann’s the one[~]who acts like he got punched in the back of the head.
ev22_0010_0032;Ah! S-Serafie?[~]But you...[f2]you[/f] can’t be here.
ev22_0010_0033;Heh?
ev22_0010_0034;What? Why would you freak out about Serafie?
