Nibelheim_npc_06_A;Mmm...
Nibelheim_npc_06_B_01;¿En qué profecía creéis? ¿La celeste o la carmesí? Solo una es la verdadera...
Nibelheim_npc_06_B_02;¿En qué profecía creéis vosotros?
Nibelheim_npc_06_B_03;La profecía carmesí.
Nibelheim_npc_06_B_04;La profecía celeste.
Nibelheim_npc_06_C_01;¡Bien dicho! ¡La profecía carmesí es la salvación! Nos dedicamos en cuerpo y alma a la profecía.
Nibelheim_npc_06_C_02;Que los heraldos os protejan, queridos fieles.
Nibelheim_npc_06_D;¿Os atrevéis a creer en la profecía celeste? ¡Malditos herejes!
Nibelheim_npc_06_E_01;¿Por qué no hicisteis caso a la profecía carmesí como el resto de nosotros?
Nibelheim_npc_06_E_02;¡Sois vosotros los responsables de esta catástrofe!
Nibelheim_npc_06_F;No, me niego a aceptarlo. La profecía carmesí no es falsa... Tiene que ser verdad...
