ev17_0170_0000;3221225472
ev17_0170_0001;3221225472
ev17_0170_0002;¿Creéis en la denominada profecía carmesí?
ev17_0170_0003;Mmm... Ten en cuenta que apenas recordamos nada sobre Grymoire, y todo esto de las profecías, la celeste, la carmesí, bla, bla, no nos resulta familiar.
ev17_0170_0004;Esta es mi primerita vez también en Grymoire, así que no sé nada.
ev17_0170_0005;Ni la más pezqueca idea.
ev17_0170_0006;Lann, tú no tienes ni pezqueca ni kolosa idea de nada.
ev17_0170_0007;Mi hipótesis es que no pasa nada siempre y cuando no os la creáis al pie de la letra, pero tengo una advertencia: 
ev17_0170_0008;en esta biblioteca se archiva cualquier libro que podáis imaginar, pero no hay ninguno sobre la profecía carmesí.
ev17_0170_0009;¿En serio? ¿Tanto libro y justo os falta ese?
ev17_0170_0010;¡No! Cualquier obra tan antigua como para llamarse profecía tendría que aparecer en nuestros archivos.
ev17_0170_0011;Entonces, ¿por qué falta?
ev17_0170_0012;Una pregunta pertinente. Debe de existir alguna explicación, pero se nos escapa...
