staff_001;[#fffad9d8]             Director & Scenario[/#][~][~][~][~][~][#fffad9d8]             Creative Producer & Character Designer[/#][~][~][~][~][~][#fffad9d8]             Image Illustrator[/#][~][~][~][~][~][#fffad9d8]             Art Director & Lilikin / Mirage Designer[/#][~][~][~][~][~][#fffad9d8]             Background Art Director[/#][~][~][~][#fffad9d8]             Bahamutian Army Designer[/#][~][~][~][~][#fffad9d8]             Character Model Director[/#][~][~][~][#fffad9d8]             Event Director[/#][~][~][~][~][#fffad9d8]             Movie Director[/#][~][~][~][~][~][#fffad9d8]             Music[/#][~][~][~][~][~][#fffad9d8]             Production Managers[/#][~][~][~][~][#fffad9d8]             Marketing & PR Lead Planner[/#][~][~][~][~][~][#fffad9d8]             Voice Cast[/#][~][#ffd8f8fa]             Lann[/#][~][~][#ffd8f8fa]             Reynn[/#][~][~][~][#ffd8f8fa]             Enna Kros[/#][~][~][#ffd8f8fa]             Tama[/#][~][~][#ffd8f8fa]             Serafie[/#][~][~][~][~][~][#fffad9d8]             Animation Production[/#][~][~][~][~][~][#fffad9d8]             Developed by[/#][~][~][~][~][~][#fffad9d8]             Producer[/#][~][~][~][~][~][#fffad9d8]             Planning & Production[/#][~][~]
staff_002;[#fffad9d8]Additional Voices[/#][~]     Laila Berzins[~]     Kira Buckland[~]     Greg Chun[~]     Dorothy Fahn[~]     Barbara Goodson[~]     Heather Hogan[~]     Brianna Knickerbocker[~]     Erica Lindbeck[~]     Max Mittelman[~]     Cindy Robinson[~]     Tara Sands[~]     Christopher Corey Smith[~]     Dave Whittenberg[~][~][#fffad9d8]Special Thanks[/#][~]     Katsuya Emi[~]     Satoru Kagawa[~]     Yoshiaki Utazu[~]     Kanta Ibaraki[~]     Kouki Uchimura [~]     Yuki Harada[~]     Ryota Unzai[~]     Fumi Sakuma[~]     Yuko Iwashige[~]     Junichi Sato[~]     Yoshiaki Kimura[~]     Yuki Nakamura[~][~][#ffd8f8fa]Sony Interactive Entertainment Japan Asia[/#][~]     Atsushi Morita[~]     Hiroshi Ueda[~]     Shiro Kawauchi[~]     Koichiro Katsurayama[~]     Kenjo Akiyama[~]     Yasuhiro Osaki[~]     Hector Fernandez[~]     Takenori Oshima[~]     Michi Takayasu[~][~][#ffd8f8fa]SQUARE ENIX CO., LTD.[/#][~]Localization Producer[~]     Noriko Ueda[~][~]Localization Assistant Project Manager[~]     Charlie Reid[~][~]Lead English Translator[~]     Brian Gray / JPEN[~][~]Lead French Translator[~]     Eve Chauviré[~][~]Lead German Translator[~]     Diana Kawamata[~][~]Lead Spanish Translator[~]     Pablo Gismero Calvo[~][~]Italian Translators[~]     Elia Riciputi (Alpha CRC)[~]     Sauro Fabi (Alpha CRC)[~]     Elisa Grattapaglia (Alpha CRC)[~][~][~][~][~][~][~][~][~][~]
staff_003;[~]Edward Bosco[~]Griffin Burns[~]Ben Diskin[~]Erin Fitzgerald[~]Todd Haberkorn[~]Shane Johnson[~]Cherami Leigh[~]Matthew Mercer[~]Tara Platt[~]Michelle Ruff[~]Patrick Seitz[~]Steve Staley[~][~][~][~]Wataru Nishio[~]ShintaroTakaramoto[~]Takayuki Nishimura[~]Youichi Ogino[~]Motohiro Matsuda[~]Masanori Kitao[~]Makiko Nihari[~]Rui Tatesaka[~]Yohei Tamano[~]Ichiro Kohmoto[~]Tetsuro Nishida[~][~][~][~][~][~][~][~][~][~][~][~][~][~][~][~]Localization Project Managers[~]     Yusuke Haruguchi[~]     Yayoi Ohba[~][~]English Translators[~]     Gabe Glick[~]     Gavin Greene[~][~]French Translator[~]     Geneviève Marier-Howard[~][~]German Translator[~]     Josef Shanel[~][~]Spanish Translator[~]     Diego Álvarez[~][~]English Editor[~]     Tim Law[~][~]General Manager[~]     Kazuhisa Ichigaya[~][~][~][~][~][~][~][~][~]
staff_004;Manager[~]     Shingo Hosokawa[~][~][#ffd8f8fa]SQUARE ENIX, INC.[/#][~]Assistant Director of Quality Assurance[~]     David <QUOT>Ribs<QUOT> Carrillo[~][~]Senior QA Manager[~]     Aaron J. Adams[~][~]QA Coordinator[~]     Carmelo Cabezo[~][~]QA Team[~]     Edgard Areas[~]     Michelle Deco[~]     Aaron Eastwood[~]     Wilson Ho[~]     Nicholas Leung[~]     Matt Martinez[~]     Jeffrey Winternheimer[~][~]QA Administrator[~]     Keith P. Christensen-Martz[~][~]QA Translator[~]     Takahiro Soh[~][~]Community & Service[~]     Yasu Kurosawa[~]     Kenny Yoshinaga[~]     Chris Farmer[~]     Justin Chan[~]     Iryna Miller[~]     Kumiko Yamaguchi[~]     Chris Ichikawa[~]     Michael Somerville[~]     Shun Fukuda[~]     Sachiko Sato[~][~]Business & Legal Affairs[~]     Adam Sullivan[~]     Noi Sasaki[~]     Desiree Rosales[~][~]Executive Director[~]     Larry Sparks[~][~]Product Marketing Manager[~]     Brendan Docherty[~][~]Marketing Coordinator[~]     Sam Hsieh[~][~]Director of Public Relations[~]     David Yang[~][~]Sales[~]     Ron Kurtz[~]     Jennifer Park[~]     Sarah Conaway[~]     Kasim Somers[~][~]Senior Director of Channel, Interactive, and Western Studio Product Marketing[~]     Mike Silbowitz[~][~][~][~][~][~][~][~][~][~]
staff_005;[~][~][~][~][~][~]Senior QA Coordinator[~]     Bryan D. Chen[~][~]Assistant QA Coordinators[~]     Tim Blake[~]     Kythera Contreras[~][~]Raphael Chua[~]Francis Dinh[~]Brandi T. Higareda-Bomar[~]Francesca Jorge[~]Mcenroe Mac[~]Jon Rende[~]Tyler Wissler[~][~]Associate QA Administrator[~]     Louis Sedeno III[~][~]Localization & QA Director[~]     Yutaka Sano[~][~][~]Brendan Hee[~]Stephen Harding[~]Josue Munoz[~]Jonella Landry[~]Steve Nguyen[~]Jose Osio[~]Gregory Toyosaka[~]Joshua Hochner[~]Sai Higashi[~]Reiko Caraway[~][~][~]Brian Finkelstein[~]Patrick Soon[~]Stephanie Pimental[~][~]Associate Director, Product Marketing[~]     Ryan Lacina[~][~]Associate Manager, Product Marketing[~]     Francis Santos[~][~][~][~][~]Public Relations[~]     Emily Shoji[~]     Stephanie Chang[~][~]     Eric Rosenberger[~]     Johnny Lam[~]     Jessica Ma[~]     Josh England[~][~][~][~][~][~][~][~][~][~][~][~][~]
staff_006;Channel Marketing Manager[~]     Marc Terada[~][~]e-Commerce Manager, Interactive Marketing[~]     Shinri Matsuoka[~][~]Associate e-Commerce Manager, Interactive Marketing[~]     John Siy[~][~]Sr. Web Producer, Interactive Marketing[~]     Richard Cerow[~][~]General Manager - Digital Sales[~]     Doug Bone[~][~]Associate Manager - Digital Sales[~]     Diego Hernandez[~][~]Sr. Central Digital Marketing Manager[~]     Chris Van Hook[~][~]Project Communications[~]     Ami Funaki[~]     Aimi Tokutake[~]     Aileen Matsuoka[~]     Jyun Takagi[~][~]Senior Director of Sales Planning, Merchandise, Project Com & Events[~]     Kanji Romeo Tashiro[~][~]Director of Creative Services[~]     Michael Bannon[~][~]Senior Designer of Creative Services[~]     James Cunningham[~]Traffic Manager[~]     Natasha Watford[~][~]President & CEO[~]     Phil Rogers[~][~][#ffd8f8fa]Square Enix Ltd[/#][~]Operations Director[~]     Seb Ohsan Berthelsen[~][~]Senior Localisation Producer[~]     Alex Moresby[~][~]Assistant Localisation Producer[~]     Giulia Isnenghi[~][~]Localisation QA Project Manager[~]     Dario De Cesare[~][~]Senior QA Lead (France)[~]     Kevin Balon[~][~]Senior QA Lead (Germany)[~]     Hoi-yee Leung[~][~]Mastering Manager[~]     Jason Walker[~][~]Italian Localisation Specialist[~]     Federica Lusardi[~][~][~][~][~][~][~][~][~]
staff_007;Social Marketing Manager, Interactive Marketing[~]     Kaori Takasue[~][~][~][~][~][~][~][~][~][~]Web Designer[~]     Aaron Pathammavong[~][~]Head - Digital Sales[~]     Andrew Larcombe[~][~][~]Merchandise[~]     Kelsey Britt[~][~]Events[~]     Wilbur Lin[~]     Alfred Holtz[~][~][~][~][~][~][~]Senior Manager of Creative Services[~]     Brett Wooldridge[~][~]Graphic Designer[~]     Raul Encarnacion[~][~]Chief Operating Officer[~]     Mike Sherlock[~][~][~][~][~]Senior Manager - Localisation and Project Management[~]     Yuko Tomizawa[~][~]Localisation Producer[~]     Elisa Giribaldi[~][~]QA Manager[~]     André Woitczyk[~][~]Senior QA Lead (UK)[~]     Shailesh Iyer[~][~]Senior QA Lead (Italy)[~]     Antonio Malafronte[~][~]Senior QA Lead (Spain)[~]     Jesús Díez García [~][~]French Localisation Specialist[~]     Louise Macqueron[~][~]German Localisation Specialist[~]     Katharina Klamt[~][~][~][~][~][~][~][~][~]
staff_008;[~]Spanish Localisation Specialist[~]     Raquel Uzal-Gómez[~][~]Japanese Business Translators[~]     Kyoko Hotta Gowlett[~]     Sumiko Okada[~]     Gavin Poffley[~][~]Brand Manager[~]     Mao Sugiyama[~][~]PR Executive - SEJ West [~]     Amy Hughes[~][~]Senior PR Manager - SEJ West[~]     Alex Huhtala[~][~]Executive Director - SEJ West[~]     Larry Sparks[~][~]COO[~]     Mike Sherlock[~][~][#ffd8f8fa]Shloc Ltd[/#][~]Project Manager[~]     Oli Chance[~][~]French Editor[~]     Xavier Kemmlein[~][~]German Editor[~]     Isabel Sterner[~][~][#ffd8f8fa]QLOC S.A.[/#][~]General Manager[~]     Adam Piesiak[~][~]Director of Account Management[~]     Pawel Ziajka[~][~]Head of Quality Assurance[~]     Sergiusz Slosarczyk[~][~]QA Lab Managers[~]     Lukasz Miroslawski[~]     Pawel Strzelczyk[~][~]Localisation QA Testers[~]     Sofiane Boukoffa[~]     Marco Ferrante[~]     Roberto Hongo[~]     Leszek Jaworowski [~]     Federico Morlunghi[~]     Naceur Ben Jaafar[~]     Pedrotti Roberto[~]     Jimm Porter[~]     Pablo Ruiz[~]     Samuel Tenoudji[~][~]IT Manager[~]     Tomasz Dziedzic[~][~][~][~][~][~][~][~][~][~][~][~]
staff_009;[~]Senior Translation Manager[~]     Andii Yamanaka[~][~]Senior Creative Services Manager[~]     Stéphanie Journau[~][~]Designer[~]     Emma Featherstone[~][~]Brand Director[~]     Kathryn Cala[~][~]Community Manager - SEJ West[~]     Daniel Seto[~][~][~][~][~][~][~]CEO[~]     Phil Rogers[~][~][~][~][~][~]Italian Editor[~]     Alessandro De Luca[~][~]Spanish Editor[~]     Píndaro Vargas-Farías[~][~][~]Business Development Director[~]     Pawel Grzywaczewski[~][~]Account Manager[~]     Marta Olejniczak[~][~]QA Project Manager[~]     Bartosz Antecki[~][~]QA Team Leaders[~]     Nina Kalinowska[~]     Pawel Szczesny[~][~][~]Sascha Brand[~]Stefan Herzog[~]Luc Jaussoin[~]Marek Kowalski[~]Piotr Mugerman[~]Raphael Oberhuber[~]Angela Pellegrino[~]Pawel Rogala[~]Emilio Rull[~][~][~][~][~][~][~][~][~][~][~][~][~][~][~][~]
staff_010;[#ffd8f8fa]Skylark Sound Studios, Inc.[/#][~][#fffad9d8]Production & Recording Services (English Version)[/#][~]Casting Director & Voice Over Producer[~]     Rita Kedineoglu[~][~]Voice Over Directors[~]     Robert Buchholz[~]     Kirk Thornton[~][~][#ffd8f8fa]CURRENT Inc.[/#][~]MUSIC EDITOR[~]     KOHEI CHIDA[~][~][#ffd8f8fa]SQUARE ENIX CO., LTD.[/#][~]Quality Assurance[~]     Takejiro Otani[~][~]Coordinator[~]     Daisuke Komatsugi[~]     Daisuke Murata[~]     Kazuaki Kamikura[~]     Shota Tsuji[~]     Mikihiro Hayashi[~][~]Technical Engineers[~]     Noboru Taniguchi[~]     Hisato Iwatsuki[~]     Taisuke Yahisa  [~][~]Game Testers[~]     Natsumi Suzuki[~]     Tomohiko Takahashi[~]     Haruhiko Kumaki[~]     Yuji Kawaguchi[~]     Shinya Kawamura[~]     Takao Toshima[~]     Iwao Mochizuki[~]     Hiromi Sato[~]     Kimitoshi Terasaki[~]     Youhei Shimabayashi[~]     ...and the entire QA staff[~][~]Special Thanks[~]     Kosuke Okatani[~][~]User Research Advisors[~]     Atsushi Takeuchi[~]     Masakazu Jinbo[~][~]Playtesters[~]     Sachiko Abe[~]     Hiroyuki Takamura[~]     Jun Sato[~]     Junichiro Komatsu[~]     Taketoshi Akasaka[~]     Yasutaka Nakashima[~]     Tsubasa Toumiya[~][~]Chief Coordinators[~]     Naoki Muto [~]     Koji Numata  [~][~]Manager[~]     Hideyuki Kato[~][~][~][~][~][~][~][~][~][~]
staff_011;[~][~][~]Casting Assistant & Production Manager[~]     Nadia Kedineoglu[~][~]Recording Engineer & Dialog Editors[~]     Kostas Gkikas[~]     Jennifer Langdon[~]     Rita Kedineoglu[~][~][~][~][~][~][~][~][~]Keiji Hayakawa[~]Yurie Yoshida[~]Reiji Kawata[~]Minami Maruyama[~][~][~][~]Keigo Kouno[~]Toyokazu Takehara [~]Kazuya Abuku [~][~][~]Masami Watanabe[~]Toshinari Iwafune[~]Yuka Fujii[~]Noriko Nakajima[~]Kazuaki Shimura[~]Ringo Wachi[~]Makoto Miyazawa[~]Takashi Hasegawa[~]Kiyonori Fujimoto[~]Shuhei Noda[~][~][~][~][~][~][~]Yoshihisa Ikumi[~]Naofumi Matsushita[~][~][~]Tomoyo Mitsunaga[~]Hiroki Sato[~]Kenichi Yamamoto[~]Kensuke Matsuura[~]Yasuyuki Murakami[~]Norikazu Naoi[~][~][~]Ratings Advisor[~]     Reiko Kondo[~][~][~]Senior Manager[~]     Yukihiro Shibuya[~][~][~][~][~][~][~][~][~][~]
