sub33_030_0000;¡Ahora! ¡A la vez!
sub33_030_0001;¡Aaah!
sub33_030_0002;¡Hielo++!
sub33_030_0003;¡Congélate, demonio!
sub33_030_0004;¡Toma!
sub33_030_0005;¡Lo hemos logrado! Aunque la victoria durará poco si se derrite.
sub33_030_0006;Cierto. ¿Qué hacemos ahora? ¿Chasquear los dedos?
sub33_030_0007;Para variar, no terminaste lo que comenzaste.
sub33_030_0008;¡Sable justiciero!
sub33_030_0009;Para ser la primera vez que lo intento, no ha ido mal.
sub33_030_0010;¡Bien! ¡A eso le llamo yo im-partir justicia!
sub33_030_0011;¡Ey, Light!
sub33_030_0012;Ya te he dicho que no me llames así.
sub33_030_0013;Me alegro de verte, Light.
sub33_030_0014;¿Qué es lo que acabo de decirte?
sub33_030_0015;Venga, Light, ¿qué tal si te pasas por el pueblo a ver a Serah? Hace mucho tiempo que no os veis, ¿no?
sub33_030_0016;¿Por qué no...? Esto es como hablar con una pared.
