ev13_0010_0000;Capítulo XIII
ev13_0010_0000_1;3221225472
ev13_0010_0000_2;El castillo del desierto
ev13_0010_0001;Reynn...
ev13_0010_0002;¿Sí? ¿Qué?
ev13_0010_0003;Esto de vivir <QUOT>aventuras<QUOT> es muy duro.
ev13_0010_0004;Bueno, es que <QUOT>aventura<QUOT>
ev13_0010_0005;significa literalmente <QUOT>cosas malas que te pasan<QUOT>.
ev13_0010_0006;Siempre tienes respuesta para todo...
ev13_0010_0007;¡Esperad! ¡Oigo movimiento por allí! ¡Creo que estamos cerquita de un lugar para descansar!
ev13_0010_0008;¡Vamos a descansar un poquito!
