npc_tama_0000_0000;Grymoire is the-waiting for you two.
npc_tama_0000_0001;Sometimes it’s nice to just kick the-back and relax.
npc_tama_0000_0002;Serafie is in charge of taking the-care of your prismariums.
npc_tama_0000_0003;...Huh?! No! I wasn’t day-the-dreaming!
npc_tama_0000_0004;I don’t think I’m the-allowed beyond that door. Something keeps me the-out.
npc_tama_0000_0005;Zzz...
npc_tama_0000_0006;Mmm... Zzz...
npc_tama_0001_0000;The-weird... I feel like I’ve missed you but that doesn’t the-make sense.
npc_tama_0001_0001;Well, it’s kind of a long story.
npc_tama_0001_0002;You...don’t think you could the-maybe elaborate?
npc_tama_0002_0000;I can’t explain how the-great it is to see you. I feel so warm and the-fuzzy inside—
npc_tama_0002_0001;Tiiinkle, tinkle tinkle tinkle tinkle...
npc_tama_0002_0002;...Warm and the-fuzzy on the inside, cold and wet on the outside.
